City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
60,New Norfolk,-42.7826,147.0587,55.99,70,94,1.01,AU,2021-05-02 21:59:01,overcast clouds
61,Atuona,-9.8,-139.0333,80.24,78,72,14.76,PF,2021-05-02 22:08:58,light rain
62,Kapaa,22.0752,-159.319,80.6,69,20,14.97,US,2021-05-02 22:08:59,light rain
63,Belgrade,44.804,20.4651,59.0,62,0,12.66,RS,2021-05-02 22:09:00,clear sky
64,Arman,59.7,150.1667,36.88,81,69,2.17,RU,2021-05-02 22:04:07,broken clouds
65,Hithadhoo,-0.6,73.0833,82.74,71,92,9.15,MV,2021-05-02 21:59:33,overcast clouds
66,Asmara,15.3333,38.9333,56.59,80,91,4.54,ER,2021-05-02 22:09:03,overcast clouds
67,Barrow,71.2906,-156.7887,17.6,73,90,4.61,US,2021-05-02 22:09:04,light snow
68,Laukaa,58.7372,29.8453,38.71,78,100,9.86,RU,2021-05-02 22:09:05,overcast clouds
69,Mataura,-46.1927,168.8643,50.0,89,57,3.0,NZ,2021-05-02 22:09:06,broken clouds
70,Clyde River,70.4692,-68.5914,28.4,86,1,4.61,CA,2021-05-02 22:03:22,clear sky
71,Ribeira Grande,38.5167,-28.7,61.03,83,100,10.31,PT,2021-05-02 22:01:09,overcast clouds
72,Nikolskoye,59.7035,30.7861,41.0,48,0,11.18,RU,2021-05-02 22:01:26,clear sky
73,Padang,-0.9492,100.3543,77.0,94,20,2.3,ID,2021-05-02 22:06:41,few clouds
74,Geraldton,-28.7667,114.6,50.0,81,0,3.44,AU,2021-05-02 22:09:12,clear sky
75,Fortuna,40.5982,-124.1573,62.01,77,40,17.27,US,2021-05-02 22:05:53,scattered clouds
76,Impfondo,1.6381,18.0667,71.64,96,100,2.44,CG,2021-05-02 22:09:14,light rain
77,Vaitape,-16.5167,-151.75,81.1,67,24,9.51,PF,2021-05-02 22:09:15,few clouds
78,Mehamn,71.0357,27.8492,22.23,69,51,3.18,NO,2021-05-02 22:02:25,broken clouds
79,Busselton,-33.65,115.3333,55.99,95,82,1.99,AU,2021-05-02 22:09:18,broken clouds
80,Berlevag,70.8578,29.0864,21.2,79,40,1.14,NO,2021-05-02 22:00:25,light snow
81,Leningradskiy,69.3833,178.4167,20.5,84,97,7.83,RU,2021-05-02 22:09:20,overcast clouds
